Escalon,37.797428,-120.996603,7523,C
Escondido,33.119208,-117.086422,151451,B
Etna,41.456806,-122.894756,716,C
Eureka,40.802072,-124.163672,27017,B
Exeter,36.296061,-119.142053,10548,C
Fairfield,38.249358,-122.039967,112970,C
Farmersville,36.297728,-119.206778,10774,C
Ferndale,40.576242,-124.263944,1369,C
Fillmore,34.399164,-118.918153,15548,C
Firebaugh,36.858839,-120.456008,8330,C
Folsom,38.677958,-121.176058,76375,C
Fontana,34.092233,-117.435047,207460,C
Fort Bragg,39.445722,-123.805292,7289,B
Fort Jones,41.663864,-124.252892,-1,C
Fortuna,40.598186,-124.157275,12000,C
Foster City,37.558547,-122.271078,33477,C
Fountain Valley,33.709186,-117.953669,56987,C
Fowler,36.630506,-119.678469,6266,C
Fremont,37.548269,-121.988572,232206,B
Fresno,36.746842,-119.772586,520052,B
Fullerton,33.870292,-117.925339,140847,B
Galt,38.254636,-121.299947,25303,C
Garden Grove,33.773906,-117.941447,175393,C
Gardena,33.88835,-118.308961,60447,C
Gilroy,37.005783,-121.568275,53231,C
Glendale,34.142508,-118.255075,201020,C
Glendora,34.136119,-117.865339,52009,C
Goleta,34.435828,-119.827639,30944,C
Gonzales,36.506628,-121.444381,8473,C
Grand Terrace,34.033903,-117.313653,12464,C
Grass Valley,39.219061,-121.061061,12944,B
Greenfield,36.3208,-121.243814,17184,C
Gridley,39.363778,-121.693583,6582,C
Grover Beach,35.121642,-120.621283,13600,C
Guadalupe,34.971644,-120.571836,7318,C
Gustine,37.257717,-120.998814,5756,C
Half Moon Bay,37.463553,-122.428586,12657,C
Hanford,36.32745,-119.645683,55659,C
Hawaiian Gardens,33.831403,-118.072842,14592,C
Hawthorne,33.916403,-118.352575,88451,B
Hayward,37.668819,-122.080797,158289,B
Healdsburg,38.610467,-122.869161,11742,C
Hemet,33.747519,-116.971967,83861,C
Hercules,38.017144,-122.288581,25314,C
Hermosa Beach,33.862236,-118.399519,19860,C
Hesperia,34.426389,-117.300878,93295,C
Hidden Hills,34.160283,-118.652311,1924,C
Highland,34.128344,-117.20865,54854,C
Hollister,36.852453,-121.401603,37462,B
Holtville,32.811161,-115.380264,6404,C
Hughson,37.602725,-120.866481,7384,C
Huntington Beach,33.660297,-117.999225,201899,B
Huntington Park,33.981681,-118.225072,59430,C
Huron,36.202731,-120.102917,6836,C
Imperial Beach,32.583944,-117.113086,27408,C
Imperial,32.847553,-115.569439,17095,C
Indian Wells,33.717631,-116.340756,5289,C
Indio,33.720578,-116.215561,87533,C
Industry,34.019733,-117.958675,206,C
Inglewood,33.961681,-118.353131,111666,B
Ione,38.352692,-120.932717,7000,C
Irvine,33.683947,-117.794694,256927,B
Irwindale,34.106953,-117.935342,1437,C
Isleton,38.161861,-121.611622,834,C
Jackson,38.348803,-120.774103,4649,C
Jurupa Valley,33.999522,-117.475397,21930,C
Kerman,36.723558,-120.059878,14475,C
King City,36.212744,-121.126028,13902,C
Kingsburg,36.513839,-119.554017,11824,C
La Ca̱ada Flintridge,34.206817,-118.200028,-1,C
La Habra Heights,33.960847,-117.950619,5454,C
La Habra,33.931958,-117.946172,62131,C
La Mesa,32.767828,-117.023083,60089,C
La Mirada,33.917236,-118.012008,49520,C
La Palma,33.846403,-118.046731,15904,C
La Puente,34.020011,-117.949508,40745,C
La Quinta,33.646692,-116.310008,40476,C
La Verne,34.100842,-117.767836,32681,C
Lafayette,37.885758,-122.118019,25843,C
Laguna Beach,33.542247,-117.783111,23365,C
Laguna Hills,33.599722,-117.699444,31748,C
Laguna Niguel,33.522525,-117.707553,65806,C
Laguna Woods,33.6103,-117.725331,16406,C
Lake Elsinore,33.668078,-117.327261,61981,C
Lake Forest,33.646967,-117.689217,82492,C
Lakeport,39.04295,-122.915828,4807,C
Lakewood,33.853628,-118.133956,81611,C
Lancaster,34.686786,-118.154164,161103,B
Larkspur,37.934092,-122.535253,12417,C
Las Vegas,36.194,-115.222,1500000,B
Lathrop,37.822706,-121.276611,20866,C
Lawndale,33.887236,-118.352575,33430,C
Lemon Grove,32.742553,-117.031417,26709,C
Lemoore,36.300783,-119.782911,25647,C
Lincoln,38.891564,-121.293008,46474,C
Lindsay,36.203006,-119.088161,13217,C
Live Oak,36.983561,-121.980517,17158,C
Livermore,37.681875,-121.768008,88126,C
Livingston,37.386883,-120.723533,13902,C
Lodi,38.134147,-121.272219,64596,C
Loma Linda,34.048347,-117.261153,24045,C
Lomita,33.792239,-118.315072,20785,C
Lompoc,34.63915,-120.457942,44164,C
Long Beach,33.768322,-118.195617,474140,B
Los Alamitos,33.803072,-118.072564,11449,C
Los Altos,33.796331,-118.118119,-1,C
Los Angeles,34.052233,-118.243686,3971883,A
Los Banos,37.058278,-120.849914,37457,C
Loyalton,39.676294,-120.241039,702,C
Lynwood,33.930292,-118.211461,71989,C
Madera,36.961336,-120.060717,64208,C
Malibu,34.005008,-118.810172,12965,C
Mammoth Lakes,37.6369,-118.9789,10000,B
Manhattan Beach,33.884736,-118.410908,35818,C
Manteca,37.797428,-121.216053,75448,C
Maricopa,35.058858,-119.40095,1192,C
Marina,36.684403,-121.802172,21229,C
Martinez,38.019367,-122.134133,38137,C
Marysville,39.145725,-121.591356,12216,C
Maywood,33.986681,-118.18535,27888,C
McFarland,35.678011,-119.229275,13985,C
Mendota,36.753561,-120.381558,11430,C
Menifee,33.678333,-117.166944,87174,C
Menlo Park,37.453828,-122.182186,33449,C
Merced,37.302164,-120.482967,82436,B
Mexicali B.C.,32.6519,-115.4683,1000000,B
Mill Valley,37.906036,-122.544975,14394,C
Millbrae,37.598547,-122.387194,22795,C
Milpitas,37.428272,-121.906625,77604,C
Mission Viejo,33.600022,-117.671994,97156,C
Modesto,37.639097,-120.996878,211266,B
Monrovia,34.144428,-118.001947,37463,C
Montague,41.728197,-122.5278,1399,C
Montclair,34.077511,-117.689778,38690,C
Monte Sereno,37.236333,-121.992458,3556,C
Montebello,34.016506,-118.113753,63921,C
Monterey Park,34.062511,-118.122847,61468,C
Monterey,36.600239,-121.894675,28338,B
Moorpark,34.144897,-118.268742,-1,C
Moreno Valley,33.942467,-117.229672,204198,C
Morgan Hill,37.1305,-121.654389,42948,C
Morro Bay,35.365808,-120.8499,10639,C
Mount Shasta,41.410806,-122.194575,3296,C
Mountain View,37.386053,-122.08385,80435,C
Murrieta,33.553914,-117.213922,109830,C
Napa,38.297539,-122.286864,80434,B
National City,32.678108,-117.099197,61060,C
Needles,34.848061,-114.614133,4984,B
Nevada City,39.261561,-121.016058,3152,C
Newark,37.529658,-122.040239,45336,C
Newman,37.313828,-121.020761,10899,C
Newport Beach,33.618911,-117.928947,87127,C
Norco,33.931125,-117.548661,26289,C
Norwalk,33.902236,-118.081733,107140,C
Novato,38.107419,-122.569703,55530,C
Oakdale,37.766594,-120.847153,22259,C
Oakland,37.804364,-122.271114,419267,B
Oakley,37.997422,-121.712453,39813,C
Oceanside,33.195869,-117.379483,175691,B
Ojai,34.44805,-119.242889,7627,C
Ontario,34.063344,-117.650889,171214,B
Orange Cove,36.624394,-119.313731,9598,C
Orange,33.787794,-117.853111,140992,B
Orinda,37.877147,-122.179689,19279,C
Orland,39.747381,-122.196375,7550,C
Oroville,39.513775,-121.556358,16260,C
Oxnard,34.197506,-119.177053,207254,B
Pacific Grove,36.617736,-121.916622,15674,C
Pacifica,37.613825,-122.486919,39260,C
Pahrump,36.2087,-116.0121,20000,B
Palm Desert,33.722244,-116.374456,51869,C
Palm Springs,33.830297,-116.545292,47371,B
Palmdale,34.579433,-118.116461,158351,B
Palo Alto,37.441883,-122.143019,66853,C
Palos Verdes Estates,33.800572,-118.390075,13682,C
Paramount,33.889461,-118.159792,55412,C
Parkfield,35.8983,-120.4317,500,B
Parlier,36.611617,-119.527072,15138,C
Pasadena,34.147786,-118.144517,142250,B
Paso Robles,35.632278,-120.664186,27157,B
Patterson,37.4716,-121.129656,21498,C
Perris,33.782519,-117.228647,74971,C
Petaluma,38.232417,-122.636653,60438,C
Pico Rivera,33.983069,-118.096736,64218,C
Piedmont,37.824372,-122.231636,11376,C
Pinole,38.004367,-122.298858,19269,C
Pismo Beach,35.142753,-120.641283,8162,C
Pittsburg,38.027975,-121.884681,69424,C
Placentia,33.872236,-117.870336,52495,C
Placerville,38.729625,-120.798547,10650,C
Pleasant Hill,37.947978,-122.060797,34810,C
Pleasanton,37.662431,-121.874678,79510,C
Plymouth,38.481853,-120.844658,960,C
Point Arena,38.908797,-123.693072,453,C
Pomona,34.055228,-117.752306,153266,B
Port Hueneme,34.180728,-119.208158,22423,C
Porterville,36.065231,-119.016767,56058,C
Portola,39.810458,-120.469103,1903,C
Poway,32.962822,-117.035864,50157,C
Rancho Cordova,38.589072,-121.302728,71017,C
Rancho Cucamonga,34.1064,-117.593108,175236,C
Rancho Mirage,33.739744,-116.412789,18083,C
Rancho Palos Verdes,33.744461,-118.387017,42732,C
Rancho Santa Margarita,33.640856,-117.603103,49324,C
Red Bluff,40.178489,-122.235831,14131,C
Redding,40.586539,-122.391675,91582,B
Redlands,34.055569,-117.182539,71035,C
Redondo Beach,33.849183,-118.388408,68166,C
Redwood City,37.485214,-122.236356,85288,C
Reedley,36.596339,-119.450403,25569,C
Reno,39.5271,-119.8218,200000,B
Rialto,34.1064,-117.370325,103132,C
Richmond,37.935758,-122.34775,109708,C
Ridgecrest,35.622456,-117.670897,28780,B
Rio Dell,40.4993,-124.106436,3387,C
Rio Vista,38.15575,-121.691344,8348,C
Ripon,37.739453,-121.135414,15151,C
Riverbank,37.736039,-120.935489,24122,C
Riverside,33.95335,-117.396156,322424,B
Rocklin,38.790733,-121.235783,61213,C
Rohnert Park,38.339636,-122.701097,42407,C
Rolling Hills Estates,33.787794,-118.358128,8258,C
Rolling Hills,33.756961,-118.353961,1893,C
Rosemead,34.080564,-118.072847,54908,C
Roseville,38.752122,-121.288006,130269,C
Sacramento,38.581572,-121.4944,490712,A
Salinas,36.677736,-121.6555,157380,B
San Bernardino,34.108344,-117.289764,216108,B
San Bruno,37.630489,-122.411083,43185,C
San Carlos,37.507158,-122.260522,29931,C
San Clemente,33.426972,-117.611992,65526,C
San Diego,32.715328,-117.157256,1394928,A
San Dimas,34.106675,-117.806725,34630,C
San Fernando,34.281947,-118.438972,24931,C
San Francisco,37.774931,-122.419417,864816,A
San Gabriel,34.096111,-118.105833,40424,C
San Jacinto,33.783908,-116.958636,46951,C
San Joaquin,36.606617,-120.189044,4022,C
San Jose,37.339386,-121.894956,1026908,B
San Juan Bautista,36.845511,-121.537997,1961,C
San Juan Capistrano,33.501692,-117.66255,36454,C
